id,name,followers,popularity,genres,main_genre,n_genres
7ju1pmve6cnma9uwus1vxy,free refills,10992,25,['egg punk'],rock,1
62gzbclgnlkcuw6o7l8tou,hannah wicklund,30019,29,"['modern blues', 'blues rock']",blues,2
0ivclmmbm05vijnzpkgcyp,j dilla,769915,56,"['plunderphonics', 'alternative hip hop', 'jazz rap']",hip-hop,3
2tgkcfsktjfd6fdkwvcras,georgia denham,50,7,"['dubstep', 'future bass']",electronic,2
39xmi59wrimyyjjsdq6wcu,crowder,593288,63,"['christian', 'worship', 'ccm', 'country christian', 'christian alternative rock', 'christian pop', 'christian rock']",rock,7
3cnkej21cj1xgbah98cbas,rabbit junk,57327,37,"['industrial metal', 'industrial rock', 'industrial']",rock,3
44sizcqbuvssbgoaefvlny,pop girls,3283,7,"['p-pop', 'bubblegum pop']",pop,2
3q5jouj2zs59ujpp1njiws,film school,26109,30,"['shoegaze', 'dream pop']",rock,2
34ezog9zecpw8lafdqgmco,tersivel,1697,5,"['folk metal', 'medieval metal', 'celtic', 'power metal', 'japanese vgm']",folk,5
7a29ko2je7gumrbmwn4t3i,boundaries,96409,49,"['metalcore', 'deathcore', 'hardcore']",rock,3
1ltyfnp2ms8azuxobealte,baptists,25732,19,"['mathcore', 'grindcore', 'sludge metal', 'hardcore', 'hardcore punk', 'noise rock']",rock,6
466t8zlghymxw107uexitm,discharge of the bloodyentrails,1620,3,['grindcore'],rock,1
4fcdsqoujabw2hehgofjom,the apx,6943,18,"['nu disco', 'funk', 'post-disco']",electronic,3
1upiyn2iu0iupwsz58kzym,belphegor,230469,41,"['black metal', 'death metal', 'metal']",rock,3
5knqyrivngvchbsseusu5b,donell jones,1339820,57,"['r&b', 'quiet storm', 'neo soul']",r&b,3
6oahbpnjkdxwcdt2agjgan,before i turn,37897,34,"['metalcore', 'djent', 'deathcore']",rock,3
1jpm4dkqu1oeos4fomgelz,dioneax,3,0,[],rock,0
1ga55xnafhpibim07zlxha,hexis,18623,16,"['sludge metal', 'black metal', 'mathcore', 'drone metal']",rock,4
3d04fb59z3anxvaehbfxtw,taya,207046,68,"['worship', 'christian', 'pop worship', 'gospel']",pop,4
4xd8ohy6epmfobxyhxug5y,the machine in the garden,2663,6,"['darkwave', 'gothic rock', 'deathrock', 'industrial']",rock,4
11gwrkzmbsgqwmobv3onfw,alison wonderland,509877,58,"['edm trap', 'future bass', 'edm']",electronic,3
5zvmklmstgogus9un5domo,imperial triumphant,66526,33,"['black metal', 'avant-garde', 'death metal']",rock,3
6pdlwwvgynmfbrlqc1h5cj,buddy,256302,55,[],hip-hop,0
4hmvaywcuqcmmrxuqaejvi,carl fanini,72,8,[],electronic,0
7fyqu76tek16fslw4zyfhw,norther,81321,31,"['melodic death metal', 'folk metal', 'death metal', 'metal']",rock,4
3ujpnt2nrmw10n58bbenog,xavier omär,458204,49,['alternative r&b'],pop,1
7chzu4esaqdhfxfvjaycav,doyle bramhall ii,52744,35,"['modern blues', 'blues rock', 'blues']",blues,3
6othyusbxua4mx2ew0s67p,lee aaron,44433,31,"['glam metal', 'aor', 'glam rock', 'arena rock', 'hard rock']",rock,5
2ohlvff9pbsdeldrstptlp,ferry corsten,290615,57,"['trance', 'progressive trance']",electronic,2
2bntosg6e8tvmn6wyxpcfu,curtis stigers,53044,46,['vocal jazz'],jazz,1
3v2nasnsviisa2k0cnolxw,rynx,156709,39,[],electronic,0
1zegvwauxntp5ddnmzbjnw,guv,10487,22,"['power pop', 'jangle pop']",pop,2
0kv2b2b0q24reawmkfmqvd,nemesea,86146,30,"['symphonic metal', 'gothic metal', 'gothic rock', 'power metal']",rock,4
17lqjhvtheyfqg6kcgdrab,re-con,50,12,[],electronic,0
4s4kd5nblgaq4ylbqsemyy,mali music,184149,46,"['christian r&b', 'gospel', 'christian hip hop']",r&b,3
6gnvhpfdgwp4lies4x0ajz,afterlife,38329,42,"['lounge', 'downtempo']",electronic,2
13rgy36ntzw0ezeedqp7rs,ömer bükülmezoğlu,29667,43,['deep house'],electronic,1
22xxblicw2a83i6talyw95,smokestack,1171,19,"['blues rock', 'modern blues', 'blues']",blues,3
73xptld3vq0bzz8q8bdpog,crocy,417,5,['progressive house'],electronic,1
3tausuxn41gixl7zbvridt,a-trak,141084,64,['disco house'],electronic,1
2toh1sq0xxpvnlvrapkp1n,wess morgan,38741,31,"['gospel', 'christian r&b', 'christian jazz']",r&b,3
5wjwlk4kmqmrbduttev1bg,har mar superstar,41939,31,"['retro pop', 'retro soul']",pop,2
1h8gqroqy1aslovqku6qgh,ashley berndt,58,4,[],electronic,0
3pyjhh2wyfqk3wzrk9rpmp,ashnikko,2641852,72,[],electronic,0
6ohejtrdfgiyz67f1bblhc,crystal gayle,415621,51,['classic country'],country,1
0mnsdaochf7f2zfayxz9bp,mauro picotto,105628,55,"['trance', 'hard house', 'electronic classical']",electronic,3
0s63soastldgpxiycscsmx,iv jay,31097,34,['jersey club'],electronic,1
1uy1q1ri5f7s3mct15kjpn,dark princess,33191,26,"['gothic metal', 'symphonic metal', 'gothic rock']",rock,3
6fyrbullppfzei63apcfli,olav basoski,6961,31,['funky house'],electronic,1
2auikknyqigwstohwk1grq,john martin,105289,68,[],electronic,0
2zrqcigzpcvat9xkhxzizh,gryffin,1018212,68,"['edm', 'melodic bass', 'future bass']",electronic,3
2zpwfriffpagfc4qyqqj1i,system f,36466,47,['trance'],electronic,1
7kfrmups2z3ncdqmns5jrc,ramsey lewis,114959,43,"['jazz funk', 'smooth jazz', 'soul jazz', 'northern soul', 'jazz', 'jazz fusion']",jazz,6
2xsk1ejbuzuar7yfwwtmxq,sissyfit,3356,8,"['queercore', 'hardcore punk', 'riot grrrl', 'hardcore']",rock,4
4wwj0bgz6t61lb1jbwdo0n,caspar babypants,58890,53,"[""children's music""]",folk,1
3qwabfawewpfli7hmnm3o8,róisín murphy,409053,57,"['art pop', 'electropop']",pop,2
3jttd1e9mbxyyu987s32fm,aldo nova,215134,38,"['aor', 'glam metal', 'arena rock']",rock,3
2lgklpxmvwvoqfzpvkuchg,scott helman,70128,44,['folk pop'],folk,1
1cwyn6ta0n4j9jtqi0sopt,teamarrr,134477,39,['alternative r&b'],pop,1
45kpbchrkywhtlu6n57ofu,kix,328976,45,"['glam metal', 'glam rock', 'hard rock']",rock,3
4egyhh5c7mvfjawxfx1qc4,gene loves jezebel,108791,39,"['new wave', 'gothic rock', 'deathrock', 'post-punk', 'darkwave', 'synthpop']",rock,6
1zn69emn3uzsf6ywcrkgyp,trent tomlinson,216879,34,"['country', 'acoustic country']",country,2
24jrxg0tkcwgazslupzymi,namewee,393208,48,"['mandopop', 'c-pop', 'taiwanese pop', 'chinese hip hop', 'cantopop']",pop,5
2ld1xpkgcj3mncefu47n0w,antoine bradford,144,22,[],r&b,0
2xi5hzwcvuslfaiu6bd8f2,joseph solomon,105,16,[],r&b,0
4wpultuxwgnreby8f3abyx,larry chance,1333,25,['doo-wop'],pop,1
1r52cwgf75ytf7i3q0irf8,t-ara,871464,57,['k-pop'],pop,1
49aebcksgmo5varnr1gbg4,kitten forever,12198,14,"['riot grrrl', 'queercore']",rock,2
6bujpbekailq2ft5fmv2mq,wavves,249778,43,"['garage rock', 'surf rock', 'noise rock', 'indie punk']",rock,4
59no6kx7wqcg7jgdth1ntl,raheem devaughn,547090,46,"['neo soul', 'quiet storm']",r&b,2
4bzj5axrwvlvg1y3tzfahy,the earls,21907,27,['doo-wop'],pop,1
2avt92rjvypz6wivhnytej,utopia,31230,29,"['power pop', 'progressive rock', 'art rock', 'classic rock', 'aor']",rock,5
1p405ubhhk4iumucu1argo,brent jones  the tp mobb,11277,25,"['christian r&b', 'gospel', 'worship']",r&b,3
6sgx32zrdgpsqybevnywmt,starfield,73896,34,"['christian', 'ccm', 'christian alternative rock', 'worship', 'christian rock']",rock,5
7gjau1qr5c2grxeqffogeh,passion pit,1274322,61,['indie'],pop,1
15k33garn2nu6ceyyqc3xz,lisa ajax,61654,35,['swedish pop'],electronic,1
6tzqjnkayty8hfqbeddf8v,anneke van giersbergen,80464,36,"['symphonic metal', 'gothic metal']",rock,2
46thl2dq4i3jrpigfsctzw,i draw slow,9354,31,"['bluegrass', 'americana', 'folk', 'newgrass']",country,4
1wijikgedomh7rpuozrj2m,vomitron,18127,29,[],rock,0
5rebfybzvihbrvcrkwvoah,hunny,264532,46,['indie pop'],pop,1
31su1gkapyna5jds0s5xir,omen,33295,33,"['speed metal', 'power metal', 'heavy metal']",rock,3
5enxh7vyth8x63m7coq9tj,taylor hill,20608,48,"['christian hip hop', 'christian r&b', 'christian pop', 'christian']",hip-hop,4
4ufh0wumzh6y4dmdnklvdl,baekhyun,2849335,64,"['k-pop', 'k-ballad']",pop,2
1enkuxhpaxyuyc8nagzykk,jodeci,2164295,59,"['new jack swing', 'quiet storm', 'r&b']",r&b,3
06iig2bqy8mv98b1c9iyo8,the mary onettes,20381,35,['dream pop'],pop,1
4mtyrjuqsgvdzqnui4xrir,sylvia,21043,33,['classic country'],country,1
544eauhvv9pnctmdosgjce,banshee,11573,17,"['glam metal', 'speed metal', 'glam rock', 'heavy metal']",rock,4
3tw6jfmrc7ysiqbabumsjc,zounds,22697,25,"['post-punk', 'punk', 'proto-punk', 'hardcore punk']",rock,4
6vx2r9l0o0d6qpvqguih7b,september,132083,57,['swedish pop'],pop,1
5rbdf1pjslf3ugc2y2pob8,savant,157963,39,"['dubstep', 'drumstep']",electronic,2
2ae2xdihqpsdvcdyf54m4o,marley's ghost,994,9,"['sea shanties', 'bluegrass']",country,2
0xzvytim5qt94j1abom0nc,davai,60657,38,['tropical house'],electronic,1
6neekr0i3jc1r4bntsjske,call me loop,72130,26,[],electronic,0
60s1odbxbk4ccmboxl2tqx,pride  glory,87372,36,['southern rock'],rock,1
3blsaqpeix7xm2e5gtn48r,the steeldrivers,453253,62,"['bluegrass', 'newgrass', 'outlaw country', 'americana', 'red dirt', 'alt country', 'country', 'country blues']",country,8
7eymdbinb760muifordlgq,bloodbath,231898,41,"['death metal', 'metal', 'grindcore']",rock,3
00ijdwq46ssbp4gzyobamx,on the rocks,10757,24,[],folk,0
57alvbcbacknlgtosiupdt,aaron neville,169028,57,['classic soul'],r&b,1
7msto40bsb3dojqt6xlsic,the judds,873903,58,"['classic country', 'country', 'traditional country']",country,3
54vtuvehi9eslkbbqsdb4l,von smith,7838,37,[],jazz,0
2u5rgzdzdar13tx6yivvry,jack and white,3889,22,['folk pop'],folk,1
4m5ptbwbu9kq4oqbi1eloc,coco worth,2311,32,['acoustic pop'],folk,1
6kmfhd0sflgunoqjgxf37v,laura benanti,14034,34,['musicals'],classical,1
5n7mwgmy3uypfoniht1mxs,ii d'extreme,15973,22,"['new jack swing', 'quiet storm', 'contemporary r&b']",r&b,3
5q6pvxflc7lkn42byuprjq,chris connor,19291,39,"['vocal jazz', 'jazz']",jazz,2
4gdrhv0gxbeoqvc9u7lcxj,imogen ryall,198,11,[],electronic,0
